Tweet Id,Ticker,Datetime,Text,Favs,RTs,Followers,Following,Is a RT,Sentiment
729847303473909760,amgn,2016-05-10 01:35:00,schwab charles investment management inc dollars 27089000 position amgen inc amgn,0.0,0.0,395.0,10.0,False,0
729846736923959298,amgn,2016-05-10 01:33:00,amgn 10 points above level,0.0,0.0,788.0,410.0,False,0
729842229917921286,amgn,2016-05-10 01:15:00,agn pfe amgn celg real companies decent pipelines actual drug r,0.0,0.0,452.0,1086.0,False,0
729837229913280512,amgn,2016-05-10 00:55:00,rt ibb breaking giving chance missed gild amgn regn,0.0,6.0,271.0,428.0,True,0
729833933207179265,amgn,2016-05-10 00:42:00,rt ibb breaking giving chance missed gild amgn regn,0.0,6.0,9814.0,1050.0,True,1
729833697374023681,amgn,2016-05-10 00:41:00,rt ibb breaking giving chance missed gild amgn regn,0.0,6.0,199.0,515.0,True,1
729832769405235200,amgn,2016-05-10 00:37:00,rt ibb breaking giving chance missed gild amgn regn,0.0,6.0,93.0,55.0,True,1
729832629516800000,amgn,2016-05-10 00:37:00,rt ibb breaking giving chance missed gild amgn regn,0.0,6.0,23521.0,97.0,True,0
729831731004620800,amgn,2016-05-10 00:33:00,rt ibb breaking giving chance missed gild amgn regn,0.0,6.0,11161.0,241.0,True,1
729830028603691008,amgn,2016-05-10 00:26:00,ibb breaking giving chance missed gild amgn regn,18.0,10.0,3233.0,558.0,False,0
729826867470061570,amgn,2016-05-10 00:14:00,rt top upcoming 2016 biotech events icpt biib prta vrtx espr amgn celg kite infi vrtx gild acor fgen,0.0,8.0,46.0,118.0,True,1
729823576195538944,amgn,2016-05-10 00:01:00,high pole,0.0,0.0,4642.0,2565.0,False,1
729815135435423745,amgn,2016-05-09 23:27:00,notable ah movers up ms c snc au nvro nus vnet wage yum down scty amgn tts mpel blox gps gs invn frgi rax,0.0,0.0,733.0,62.0,False,0
729808472229982212,amgn,2016-05-09 23:01:00,p100 performance agn biib celg abbv emc tgt cost amgn lly gild mo spg wmt kmi mrk,0.0,0.0,853.0,7.0,False,1
729806874715922434,amgn,2016-05-09 22:54:00,amgn high open interest range 150.00 155.00 option expiration,0.0,0.0,935.0,8.0,False,0
729798831819362305,amgn,2016-05-09 22:22:00,rt kite said won’t file ind amgn partnership 2017 delay last update,0.0,1.0,2090.0,444.0,True,1
729798116711407616,amgn,2016-05-09 22:20:00,kite said won’t file ind amgn partnership 2017 delay last update,3.0,1.0,11539.0,271.0,False,1
729793761761497088,amgn,2016-05-09 22:02:00,healthcare industry grow dollars 82 billion,0.0,0.0,103.0,38.0,False,0
729788079431618560,amgn,2016-05-09 21:40:00,follow 100 traders track tweets under one watchlist amgn qcom,0.0,0.0,830.0,883.0,False,1
729780260028436480,amgn,2016-05-09 21:09:00,first quarter metrics show limited growth prospects bmy r rhhby ibb regn amgn,0.0,1.0,1568.0,521.0,False,0
729775351820374016,amgn,2016-05-09 20:49:00,mt ibdareeves medivation reportedly caves inevitable cozies up pfizer amgen,0.0,0.0,1234.0,129.0,False,1
729775212376526849,amgn,2016-05-09 20:49:00,medivation reportedly caves inevitable cozies up pfizer amgen ward sanofi,0.0,0.0,766.0,81.0,False,1
729768599490068480,amgn,2016-05-09 20:22:00,rt recap chatter ioc tot xom srne adviser mdvn pfe amgn mhgc sbe,0.0,1.0,37770.0,91.0,True,1
729765479741415424,amgn,2016-05-09 20:10:00,recap chatter ioc tot xom srne adviser mdvn pfe amgn mhgc sbe,1.0,1.0,19179.0,242.0,False,1
729764604071444481,amgn,2016-05-09 20:06:00,medivation signs non disclosure pacts pfizer reuters read,0.0,0.0,207.0,2.0,False,1
729764286122221568,amgn,2016-05-09 20:05:00,rt mdvn current suitors pfe amgn signed non disclosure agreements sny offered dollars .3 billion,0.0,1.0,2893.0,412.0,True,1
729762901586632704,amgn,2016-05-09 20:00:00,look whos moving 8 year old site never occupied lessee amgen,0.0,0.0,29717.0,1640.0,False,1
729762875351412737,amgn,2016-05-09 20:00:00,top market close tsn pfe anf amgn luv,0.0,0.0,127.0,94.0,False,1
729762872130162688,amgn,2016-05-09 20:00:00,top sentiment sp1500 stocks market close tsn pfe anf amgn luv,1.0,0.0,39.0,28.0,False,1
729762727774834688,amgn,2016-05-09 19:59:00,nasdaq100 performance incy bmrn vrtx myl biib cern alxn celg regn trip rost dish amgn,0.0,0.0,853.0,7.0,False,1
729762579099336704,amgn,2016-05-09 19:58:00,p100 performance agn biib celg abbv amgn tgt emc gild amzn cost lly rtn wmt mo,0.0,0.0,853.0,7.0,False,1
729762470974230528,amgn,2016-05-09 19:58:00,mdvn current suitors pfe amgn signed non disclosure agreements sny offered dollars .3 billion,1.0,3.0,1386.0,3.0,False,1
729761641357660160,amgn,2016-05-09 19:55:00,win u k cost agency approval amgn sny regn offer discounts new pcsk9 drugs,0.0,0.0,4489.0,350.0,False,0
729755835438534656,amgn,2016-05-09 19:32:00,amgn exchange see greater amgn bcor tlp,0.0,0.0,47.0,40.0,False,1
729753825830014976,amgn,2016-05-09 19:24:00,icer analysis recommends lower prices new multiple myeloma drugs includ amgns kyprolis takedas ninlaro,0.0,0.0,4489.0,350.0,False,1
729748148785061888,amgn,2016-05-09 19:01:00,amgn max pain 155.00 maturity price equals 153.19 bullish,0.0,0.0,935.0,8.0,False,1
729741490939793408,amgn,2016-05-09 18:35:00,report medivation signs nda pfizer amgen officially moves explore sale,0.0,0.0,12693.0,130.0,False,1
729741346572009472,amgn,2016-05-09 18:34:00,rt mdvn signs non disclosure amgn pfe exploring sale seeing reuters source,0.0,5.0,139.0,619.0,True,1
729740823827341312,amgn,2016-05-09 18:32:00,trending topics include abbv amgn see,0.0,0.0,889.0,85.0,False,0
729740539109629952,amgn,2016-05-09 18:31:00,lt b greater platelet biogenesis lt b greater wins golden ticket lt b greater labcentral lt b greater read,0.0,0.0,207.0,2.0,False,1
729740383861641216,amgn,2016-05-09 18:30:00,exclusive medivation succumbs pressure explore sale sources read,0.0,0.0,207.0,2.0,False,0
729738477521219588,amgn,2016-05-09 18:23:00,medivation conceding pressure exploring sale sny pfe amgn front suitors interest higher sale price mdvn up greater 4 percent,1.0,0.0,293.0,248.0,False,0
729737712509538305,amgn,2016-05-09 18:20:00,exclusive medivation succumbs pressure explore sale sources,0.0,0.0,2668.0,98.0,False,1
729737459047796738,amgn,2016-05-09 18:19:00,amgn medivation signs non disclosure pacts pfizer amgen reuters,1.0,0.0,6033.0,2701.0,False,0
729735396670775297,amgn,2016-05-09 18:10:00,amgn sentiment rise 0.75 change positive 0.56 sdr 1.11 1 hour 0 pm spy ndx,0.0,0.0,149.0,1.0,False,0
729733718064140288,amgn,2016-05-09 18:04:00,amgen inc valuation february 2016 amgn,0.0,0.0,2073.0,769.0,False,1
729732740447350785,amgn,2016-05-09 18:00:00,rt exclusive medivation decides explore sale signs non disclosure agreements pfizer inc amgen inc sources rtrs md…,0.0,14.0,118.0,221.0,True,1
729731533599326209,amgn,2016-05-09 17:55:00,medivation signs non disclosure pacts amgern pfizer reuters mdvn positive 4.37 percent 62.62 amgn positive 1.64 percent pfe positive 0.66 percent,0.0,0.0,5048.0,511.0,False,1
729731393807323138,amgn,2016-05-09 17:54:00,rt mdvn signs non disclosure amgn pfe exploring sale seeing reuters source,0.0,5.0,83.0,82.0,True,1
729730652132773888,amgn,2016-05-09 17:51:00,amgn hod celg hod biib hod confirmed,0.0,0.0,1075.0,402.0,False,1
729726458273275905,amgn,2016-05-09 17:35:00,rt ibb strong day nhod many list across caps blue kite juno bpmc amgn celg sage alny opht xlrn b…,0.0,6.0,201.0,32.0,True,0
729725057010831360,amgn,2016-05-09 17:29:00,rt mdvn signs non disclosure amgn pfe exploring sale seeing reuters source,0.0,5.0,141.0,162.0,True,0
729724079972851712,amgn,2016-05-09 17:25:00,rt exclusive medivation decides explore sale signs non disclosure agreements pfizer inc amgen inc sources rtrs md…,0.0,14.0,122246.0,120.0,True,1
729723934422269953,amgn,2016-05-09 17:25:00,rt exclusive medivation decides explore sale signs non disclosure agreements pfizer inc amgen inc sources rtrs…,0.0,5.0,204.0,178.0,True,0
